file,usage_class,proposed_action,evidence,filename_references_non_exhaustive
src/research.py,offline_tool,KEEP,"Standalone command, not in Flask dependency closure; entry point / documented CLI",docs/ANNOTATION_GUIDE.md; docs/README.md; docs/README_EVALUATION.md; docs/README_PIPELINE.md; docs/RESEARCH_STATUS.md; src/dense_service.py
src/restaurant_service.py,web_dependency,KEEP,"Flask dependency closure; imported by src/assistant_service.py, src/data_pipeline.py, src/location_routes.py, src/webapp.py",docs/verification/VERIFICATION_WEB.md
src/retrieval_service.py,web_dependency,KEEP,"Flask dependency closure; imported by src/data_pipeline.py, src/research.py, src/webapp.py",
src/seed_locations.py,offline_tool,KEEP,"Standalone command, not in Flask dependency closure; entry point / documented CLI",docs/README.md
src/storage.py,web_dependency,KEEP,"Flask dependency closure; imported by src/assistant_service.py, src/auth.py, src/data_pipeline.py, src/import_gold.py, src/locations.py, src/research.py, src/retrieval_service.py, src/seed_locations.py, src/topic_trends.py, src/webapp.py",docs/verification/VERIFICATION_WEB.md
src/topic_trends.py,offline_tool,KEEP,"Standalone command, not in Flask dependency closure; entry point / documented CLI",docs/RESEARCH_STATUS.md
src/train_phobert.py,offline_tool,KEEP_PENDING_ABLATION_DECISION,"Standalone command, not in Flask dependency closure; entry point / documented CLI",docs/README.md; docs/research/TRAINING_IMPROVEMENT_PLAN.md
src/train_phobert_multitask.py,offline_tool,KEEP,"Standalone command, not in Flask dependency closure; entry point / documented CLI",docs/RESEARCH_STATUS.md
src/trend_dashboard.py,web_dependency,KEEP,Flask dependency closure; imported by src/webapp.py,
src/webapp.py,web_dependency,KEEP,Flask dependency closure; entry point / documented CLI,docs/README.md; docs/README_WEB.md; docs/RESEARCH_STATUS.md; docs/STRUCTURE.md; docs/verification/VERIFICATION_WEB.md; scripts/windows/run_web.bat
static/admin.css,frontend_asset,KEEP,UI reference or vendored Leaflet dependency/license,templates/admin_annotations.html; templates/login.html
static/app.js,frontend_asset,KEEP,UI reference or vendored Leaflet dependency/license,templates/base.html
static/assistant.css,frontend_asset,KEEP,UI reference or vendored Leaflet dependency/license,templates/base.html
static/assistant.js,frontend_asset,KEEP,UI reference or vendored Leaflet dependency/license,templates/assistant.html
static/foodlens-mark.svg,frontend_asset,KEEP,UI reference or vendored Leaflet dependency/license,templates/_mobile_nav.html; templates/_sidebar.html; templates/assistant.html; templates/base.html
static/locations.js,frontend_asset,KEEP,UI reference or vendored Leaflet dependency/license,templates/admin_locations.html
static/pages.css,frontend_asset,KEEP,UI reference or vendored Leaflet dependency/license,templates/base.html
static/shell.js,frontend_asset,KEEP,UI reference or vendored Leaflet dependency/license,templates/base.html
static/style.css,frontend_asset,KEEP,UI reference or vendored Leaflet dependency/license,templates/base.html
static/trends.js,frontend_asset,KEEP,UI reference or vendored Leaflet dependency/license,src/topic_trends.py; templates/research.html
static/ui_refresh.css,frontend_asset,KEEP,UI reference or vendored Leaflet dependency/license,templates/base.html
static/vendor/leaflet/LICENSE,frontend_asset,KEEP,UI reference or vendored Leaflet dependency/license,docs/README.md; src/pipeline.py
static/vendor/leaflet/leaflet.css,frontend_asset,KEEP,UI reference or vendored Leaflet dependency/license,templates/assistant.html; templates/research.html
static/vendor/leaflet/leaflet.js,frontend_asset,KEEP,UI reference or vendored Leaflet dependency/license,templates/assistant.html; templates/research.html
static/vendor/leaflet/marker-icon.png,frontend_asset,KEEP_VENDOR_REVIEW,App uses divIcon; retain library fallback pending asset-path/package audit,
static/vendor/leaflet/marker-shadow.png,frontend_asset,KEEP_VENDOR_REVIEW,App uses divIcon; retain library fallback pending asset-path/package audit,
study_responses.example.csv,evaluation_fixture,KEEP,Schema/example input for offline evaluation,docs/ANNOTATION_GUIDE.md
templates/_mobile_nav.html,template,KEEP,"Route, extends or include reference; template compilation passed",templates/base.html
templates/_sidebar.html,template,KEEP,"Route, extends or include reference; template compilation passed",templates/base.html
templates/admin_annotations.html,template,KEEP,"Route, extends or include reference; template compilation passed",src/admin_annotations.py
templates/admin_locations.html,template,KEEP,"Route, extends or include reference; template compilation passed",src/location_routes.py
templates/assistant.html,template,KEEP,"Route, extends or include reference; template compilation passed",src/webapp.py
templates/base.html,template,KEEP,"Route, extends or include reference; template compilation passed",templates/admin_annotations.html; templates/admin_locations.html; templates/assistant.html; templates/error.html; templates/home.html; templates/login.html; templates/profile.html; templates/register.html
templates/error.html,template,KEEP,"Route, extends or include reference; template compilation passed",src/webapp.py
templates/home.html,template,KEEP,"Route, extends or include reference; template compilation passed",src/webapp.py
templates/login.html,template,KEEP,"Route, extends or include reference; template compilation passed",src/auth.py
templates/profile.html,template,KEEP,"Route, extends or include reference; template compilation passed",src/auth.py
templates/register.html,template,KEEP,"Route, extends or include reference; template compilation passed",src/auth.py
templates/research.html,template,KEEP,"Route, extends or include reference; template compilation passed",src/webapp.py
templates/results.html,template,KEEP,"Route, extends or include reference; template compilation passed",src/webapp.py
tests/test_admin.py,validation,KEEP,Test discovery / src import path; failures do not prove test file is unused,
tests/test_auth.py,validation,KEEP,Test discovery / src import path; failures do not prove test file is unused,
tests/test_data_pipeline.py,validation,KEEP,Test discovery / src import path; failures do not prove test file is unused,
tests/test_hybrid_research.py,validation,KEEP,Test discovery / src import path; failures do not prove test file is unused,
tests/test_phobert_architecture.py,validation,KEEP,Test discovery / src import path; failures do not prove test file is unused,
tests/test_pipeline.py,validation,KEEP,Test discovery / src import path; failures do not prove test file is unused,
tests/test_recommendation.py,validation,KEEP,Test discovery / src import path; failures do not prove test file is unused,
tests/test_retrieval.py,validation,KEEP,Test discovery / src import path; failures do not prove test file is unused,
tests/test_web.py,validation,KEEP,Test discovery / src import path; failures do not prove test file is unused,
